id,nome,arquivo_url,created_at,updated_at
0b7665fc-f200-444d-baf9-75f833fce9ff,GSE 17.8C,https://fgaklrgwjeakhjbslgbk.supabase.co/storage/v1/object/public/graficos-carga/grafico_1763410760141_Ficha%20Tecnica%20-%20Stark%20Guindastes%20-%20GSE%2017.8C.pdf,2025-10-13 20:23:48.068146+00,2025-11-17 20:19:20.492174+00
175ff850-05c8-495e-84b8-c40f3871f6fa,GSE 13.0C,https://fgaklrgwjeakhjbslgbk.supabase.co/storage/v1/object/public/graficos-carga/grafico_1763410720490_Ficha%20Tecnica%20-%20Stark%20Guindastes%20-%20GSE%2013.0C.pdf,2025-10-13 20:05:32.287013+00,2025-11-17 20:18:40.751565+00
1cd27e96-814f-40da-9541-08fdac475b19,GSE 10.8T,https://fgaklrgwjeakhjbslgbk.supabase.co/storage/v1/object/public/graficos-carga/grafico_1763410688897_Ficha%20Tecnica%20-%20Stark%20Guindastes%20-%20GSE%2010.8T.pdf,2025-10-13 20:03:15.825166+00,2025-11-17 20:18:09.284626+00
2ad0ef26-4985-4d75-9ceb-92a56964d0a5,GSI 10.8,https://fgaklrgwjeakhjbslgbk.supabase.co/storage/v1/object/public/graficos-carga/grafico_1763411034086_Ficha%20Tecnica%20-%20Stark%20Guindastes%20-%20GSI%2010.8.pdf,2025-10-12 15:13:54.324805+00,2025-11-17 20:23:54.959394+00
2eea8b3e-63ce-4f27-8077-e0a9db2f2c76,GSE 15.8T,https://fgaklrgwjeakhjbslgbk.supabase.co/storage/v1/object/public/graficos-carga/grafico_1763410746109_Ficha%20Tecnica%20-%20Stark%20Guindastes%20-%20GSE%2015.8T.pdf,2025-10-13 20:03:47.069313+00,2025-11-17 20:19:06.572954+00
30d5efd5-580d-42d9-92bf-d77b978a7660,GSI 10.8C,https://fgaklrgwjeakhjbslgbk.supabase.co/storage/v1/object/public/graficos-carga/grafico_1763411147175_Ficha%20Tecnica%20-%20Stark%20Guindastes%20-%20GSI%2010.8C.pdf,2025-10-12 15:13:22.62046+00,2025-11-17 20:25:47.874505+00
41dad5d1-bdd5-4c42-8d76-351683e9ecb1,GSI 6.5,https://fgaklrgwjeakhjbslgbk.supabase.co/storage/v1/object/public/graficos-carga/grafico_1763411101230_Ficha%20Tecnica%20-%20Stark%20Guindastes%20-%20GSI%206.5.pdf,2025-10-12 15:13:39.157566+00,2025-11-17 20:25:03.033636+00
44bac58c-41a3-46f4-b375-856623aee74b,GSE 15.0C,https://fgaklrgwjeakhjbslgbk.supabase.co/storage/v1/object/public/graficos-carga/grafico_1763410734757_Ficha%20Tecnica%20-%20Stark%20Guindastes%20-%20GSE%2015.0C.pdf,2025-10-13 20:06:14.232397+00,2025-11-17 20:18:55.092745+00
44edfac6-99df-40e0-9929-f7f104335511,GSE 8.0T,https://fgaklrgwjeakhjbslgbk.supabase.co/storage/v1/object/public/graficos-carga/grafico_1763411018655_Ficha%20Tecnica%20-%20Stark%20Guindastes%20-%20GSE%208.0T.pdf,2025-10-13 20:03:00.081626+00,2025-11-17 20:23:39.224993+00
7d12c1fc-e0e9-43fa-a8af-6c6084e986fa,GSE 45.8T,https://fgaklrgwjeakhjbslgbk.supabase.co/storage/v1/object/public/graficos-carga/grafico_1773428865899_GSE%2045.8T%20Ficha%20Tecnica.pdf,2026-03-13 19:07:47.480853+00,2026-03-13 19:07:47.480853+00
825eb850-cacf-405f-9de2-105e2765959c,GSE 12.8T,https://fgaklrgwjeakhjbslgbk.supabase.co/storage/v1/object/public/graficos-carga/grafico_1763410704487_Ficha%20Tecnica%20-%20Stark%20Guindastes%20-%20GSE%2012.8T.pdf,2025-10-13 20:03:29.301194+00,2025-11-17 20:18:24.888489+00
87c4fc5a-2323-401a-acb6-d64d4d68a45b,GSE 6.5T,https://fgaklrgwjeakhjbslgbk.supabase.co/storage/v1/object/public/graficos-carga/grafico_1763410794108_Ficha%20Tecnica%20-%20Stark%20Guindastes%20-%20GSE%206.5T.pdf,2025-10-13 20:02:40.165875+00,2025-11-17 20:19:54.412209+00
898fc44c-9bf2-4bde-b39b-dc832255cebc,GSE 30.8T,https://fgaklrgwjeakhjbslgbk.supabase.co/storage/v1/object/public/graficos-carga/grafico_1763410770805_Ficha%20Tecnica%20-%20Stark%20Guindastes%20-%20GSE%2030.8T.pdf,2025-10-13 20:04:00.774295+00,2025-11-17 20:19:31.850602+00
a04afe26-80cb-4ea8-8a27-02455ae044e6,GSE 35.8T,https://fgaklrgwjeakhjbslgbk.supabase.co/storage/v1/object/public/graficos-carga/grafico_1763410782001_Ficha%20Tecnica%20-%20Stark%20Guindastes%20-%20GSE%2035.8T.pdf,2025-10-13 20:04:26.533608+00,2025-11-17 20:19:42.30289+00
ae51d21e-097c-485d-a1b1-2211169c9d59,GSI 8.0C,https://fgaklrgwjeakhjbslgbk.supabase.co/storage/v1/object/public/graficos-carga/grafico_1763411122773_Ficha%20Tecnica%20-%20Stark%20Guindastes%20-%20GSI%208.0C.pdf,2025-10-12 15:14:31.921477+00,2025-11-17 20:25:23.683558+00
bf30a7cf-f2bd-4609-af67-42a34deffb84,GSE 8.0C,https://fgaklrgwjeakhjbslgbk.supabase.co/storage/v1/object/public/graficos-carga/grafico_1763410809151_Ficha%20Tecnica%20-%20Stark%20Guindastes%20-%20GSE%208.0C.pdf,2025-10-13 20:04:55.974357+00,2025-11-17 20:20:09.476752+00
c207cc38-3cf6-4e7a-a7bf-a9546e456484,GSI 8.0,https://fgaklrgwjeakhjbslgbk.supabase.co/storage/v1/object/public/graficos-carga/grafico_1763411111278_Ficha%20Tecnica%20-%20Stark%20Guindastes%20-%20GSI%208.0.pdf,2025-10-13 20:01:55.254203+00,2025-11-17 20:25:12.470745+00
d32fb5c6-0469-466c-ae68-86022634b70f,GSE 10.8C,https://fgaklrgwjeakhjbslgbk.supabase.co/storage/v1/object/public/graficos-carga/grafico_1763410665201_Ficha%20Tecnica%20-%20Stark%20Guindastes%20-%20GSE%2010.8C.pdf,2025-10-13 20:05:10.616464+00,2025-11-17 20:17:46.269617+00