id,scope,concessionaria_id,status,version,created_by,created_at,published_at,archived_at
0819124e-7bf7-4a05-8c10-e076293efe60,stark,,archived,11,a6f39e52-3a79-4c09-b5e7-6a193a6eca26,2026-04-30 19:21:04.269148+00,2026-04-30 19:22:02.55694+00,2026-04-30 19:24:29.257743+00
3ccac312-36ca-4eb5-be8c-5d2aea6d6359,stark,,archived,5,a6f39e52-3a79-4c09-b5e7-6a193a6eca26,2026-04-06 18:37:43.993336+00,2026-04-06 18:39:05.318476+00,2026-04-06 18:40:53.787398+00
3d3c38c3-5642-4cba-a69a-eb15629ffd43,stark,,archived,3,a6f39e52-3a79-4c09-b5e7-6a193a6eca26,2026-04-02 11:36:26.528605+00,2026-04-02 11:39:08.360798+00,2026-04-06 18:26:23.946351+00
52cb1ed7-7275-4d59-910d-a9a80dac8f73,concessionaria,a010243a-6a7e-454d-a68e-742f2a6ee926,draft,1,a6f39e52-3a79-4c09-b5e7-6a193a6eca26,2026-04-08 12:47:36.242055+00,,
587e8868-6fde-4a34-9c9e-cdac4f636feb,stark,,archived,1,a6f39e52-3a79-4c09-b5e7-6a193a6eca26,2026-03-01 22:33:23.129742+00,2026-03-02 15:59:12.15247+00,2026-03-02 16:01:26.010508+00
747c22f4-f4b7-4c39-99bb-eb87bf27af3a,stark,,archived,6,a6f39e52-3a79-4c09-b5e7-6a193a6eca26,2026-04-06 18:39:29.578565+00,2026-04-06 18:40:53.787398+00,2026-04-06 18:42:25.81406+00
7b7d8725-065c-4a24-bea3-ce55c732f564,stark,,archived,12,a6f39e52-3a79-4c09-b5e7-6a193a6eca26,2026-04-30 19:23:46.538634+00,2026-04-30 19:24:29.257743+00,2026-04-30 19:25:34.880559+00
7e2ab9f9-3f87-4797-9806-90c45054f467,stark,,published,14,a6f39e52-3a79-4c09-b5e7-6a193a6eca26,2026-04-30 19:44:21.18489+00,2026-04-30 19:45:34.542483+00,
8dd846c9-a2c6-479b-a9ff-6e1ec049d8ee,stark,,archived,2,a6f39e52-3a79-4c09-b5e7-6a193a6eca26,2026-03-02 16:01:01.028029+00,2026-03-02 16:01:26.010508+00,2026-04-02 11:39:08.360798+00
8f0c6e57-7057-4795-8ca0-8f7e2a0dd5ff,stark,,archived,4,a6f39e52-3a79-4c09-b5e7-6a193a6eca26,2026-04-06 18:25:42.39029+00,2026-04-06 18:26:23.946351+00,2026-04-06 18:39:05.318476+00
9b194e6c-01ad-4efc-824f-f3abe7f314e0,stark,,archived,7,a6f39e52-3a79-4c09-b5e7-6a193a6eca26,2026-04-06 18:41:12.976955+00,2026-04-06 18:42:25.81406+00,2026-04-06 18:43:37.207463+00
9b51a6ea-deeb-4036-8646-b6348c6c15bb,stark,,archived,10,29e31740-a4f4-409f-a379-4dbcc0a8449c,2026-04-07 19:11:04.839542+00,2026-04-16 17:06:45.249915+00,2026-04-30 19:22:02.55694+00
b9805286-d361-40e6-9eea-3eef00d5fbcc,stark,,archived,13,a6f39e52-3a79-4c09-b5e7-6a193a6eca26,2026-04-30 19:25:12.051516+00,2026-04-30 19:25:34.880559+00,2026-04-30 19:45:34.542483+00
becdf107-f68b-4fb0-918d-49ed897f393b,stark,,archived,9,a6f39e52-3a79-4c09-b5e7-6a193a6eca26,2026-04-06 18:43:49.583471+00,2026-04-06 18:47:35.028699+00,2026-04-16 17:06:45.249915+00
e340f6be-fefc-425d-b744-2af12889345f,stark,,archived,8,a6f39e52-3a79-4c09-b5e7-6a193a6eca26,2026-04-06 18:42:44.760228+00,2026-04-06 18:43:37.207463+00,2026-04-06 18:47:35.028699+00